slice_file_name,fsID,start,end,salience,fold,classID,class
100852-0-0-000.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-001.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-002.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-003.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-100.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1000.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1001.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1002.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1003.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-101.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-102.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-103.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1100.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1101.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1102.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1103.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1200.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1201.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1202.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1203.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1300.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1301.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1302.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1303.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1400.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1401.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1402.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1403.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1500.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1501.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1502.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1503.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1600.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1601.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1602.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1603.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1700.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1701.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1702.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1703.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1800.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1801.wav,100852,0.0,4.0,1,11,0,gun_shot
100852-0-0-1802.wav,100852,0.0,4.0,1,11,0,gun_shot
